Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-5.6544E-10,0.0032663,0.024781,0,0,0,0.077397,7.6666E-05,1.5618E-13,6.4688E-13,6.7884E-05,6.1994E-07,0.00012057,0,0,0,0,0,0,package://roboassem/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://roboassem/meshes/base.STL,,base-1;cr pan head screw_is-6;cr pan head screw_is-5;motorb-1;cr pan head screw_is-8;cr pan head screw_is-7,cbase1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotate1,7.8652E-10,0.017196,0.01967,0,0,0,0.055642,2.7614E-05,6.4688E-13,1.5618E-13,2.3831E-05,-6.5307E-07,3.5251E-05,0,0,0,0,0,0,package://roboassem/meshes/rotate1.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://roboassem/meshes/rotate1.STL,,cr pan head screw_is-1;cr pan head screw_is-2;cr pan head screw_is-3;cr pan head screw_is-4;motorb-2;rotate1-1,crotate1,rotate1,jrotate1,revolute,0,0,0.051,0,0,0,base,0,0,1,0,0,-1.57,1.57,,,,,1.5,-1.5,,0
link1,3.0531E-07,0.0024668,0.070335,0,0,0,0.0493,0.00015198,6.142E-10,3.4562E-10,0.00015254,5.5341E-10,1.7276E-05,0,0,0,0,0,0,package://roboassem/meshes/link1.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://roboassem/meshes/link1.STL,,link1-1,clink1,link1,jlink1,revolute,0,-0.021019,0.039215,0,0,0,rotate1,0,1,0,0,0,-1.222,1.92,,,,,1.85,-1.15,,0
link2,0.032867,0.020587,0.00045109,0,0,0,0.067771,1.4311E-05,2.6105E-06,1.6958E-07,5.7937E-05,-6.7336E-09,6.0741E-05,0,0,0,0,0,0,package://roboassem/meshes/link2.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://roboassem/meshes/link2.STL,,cr pan head screw_is-9;cr pan head screw_is-10;cr pan head screw_is-11;cr pan head screw_is-12;motorb-3;link2-1;cr pan head screw_is-21;cr pan head screw_is-20;motors-1,clink2,link2,jlink2,revolute,0,0.025219,0.14033,0,0,0,link1,0,-1,0,0,0,-1.222,1.92,,,,,1.85,-1.15,,0
rotate2,0.011055,-0.0037097,2.4286E-05,0,0,0,0.016695,2.3879E-06,4.2263E-07,-5.8312E-09,2.2937E-06,1.5232E-09,2.7413E-06,0,0,0,0,0,0,package://roboassem/meshes/rotate2.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://roboassem/meshes/rotate2.STL,,motors_horn-1;rotate2-1;motors-2;cr pan head screw_is-18;cr pan head screw_is-19;cr pan head screw_is-17,crotate2,rotate2,jrotate2,revolute,0.10788,0.01655,0,0,0,0,link2,-1,0,0,0,0,-1.57,1.57,,,,,1.5,-1.5,,0
end,0.020161,0.0045965,8.9879E-09,0,0,0,0.021086,4.5047E-06,-4.5642E-07,8.1657E-13,4.5609E-06,-1.909E-12,4.8659E-06,0,0,0,0,0,0,package://roboassem/meshes/end.STL,1,1,1,1,0,0,0,0,0,0,package://roboassem/meshes/end.STL,,motors_horn-2;cr pan head screw_is-15;cr pan head screw_is-16;arm_connector v9.step-1/Component1.step-1,cend,end,jend,revolute,0.026025,-0.0278,0,0,0,0,rotate2,0,-1,0,0,0,-1.57,1.57,,,,,1.5,-1.5,,0
